install_condition: 1 = trenched; 2 = bored; 3 = attached,,,
ch_index,install_condition,easting,northing
287,1,627598,4272155
288,1,627596,4272155
289,1,627594,4272155
290,1,627592,4272155
291,1,627590,4272155
292,1,627588,4272155
293,1,627586,4272155
294,1,627584,4272154
295,1,627582,4272154
296,1,627580,4272154
297,1,627578,4272154
298,1,627576,4272154
299,1,627574,4272154
300,1,627572,4272154
301,1,627570,4272154
302,1,627568,4272154
303,1,627566,4272154
304,1,627564,4272153
305,1,627562,4272153
306,1,627560,4272153
307,1,627558,4272153
308,1,627556,4272153
309,1,627554,4272153
310,1,627552,4272153
311,1,627550,4272153
312,1,627548,4272153
313,1,627546,4272153
314,1,627544,4272152
315,1,627542,4272152
316,1,627540,4272152
317,1,627538,4272152
318,1,627536,4272152
319,1,627534,4272152
320,1,627532,4272152
321,1,627530,4272152
322,1,627528,4272152
323,1,627526,4272152
324,1,627524,4272151
325,1,627522,4272151
326,1,627520,4272151
327,1,627518,4272151
328,1,627516,4272151
329,1,627514,4272151
330,1,627512,4272151
331,1,627510,4272151
332,1,627508,4272151
333,1,627506,4272151
334,1,627504,4272150
335,1,627502,4272150
336,1,627500,4272150
337,1,627498,4272150
338,1,627496,4272150
339,1,627494,4272150
340,1,627492,4272150
341,1,627490,4272150
342,1,627488,4272150
343,1,627486,4272150
344,1,627484,4272149
345,1,627482,4272149
346,1,627480,4272149
347,1,627478,4272149
348,1,627476,4272149
349,1,627474,4272149
350,1,627472,4272149
351,1,627470,4272149
352,1,627468,4272149
353,1,627466,4272149
354,1,627464,4272148
355,1,627462,4272148
356,1,627460,4272148
357,1,627458,4272148
358,1,627456,4272148
359,1,627454,4272148
360,1,627452,4272148
361,1,627450,4272148
362,1,627448,4272148
363,1,627446,4272148
364,1,627444,4272147
365,1,627442,4272147
366,1,627440,4272147
367,1,627438,4272147
368,1,627436,4272147
369,1,627434,4272147
370,1,627432,4272147
371,1,627430,4272147
372,1,627428,4272147
373,1,627426,4272147
374,1,627424,4272146
375,1,627422,4272146
376,1,627420,4272146
377,1,627418,4272146
378,1,627416,4272146
379,1,627414,4272146
380,1,627412,4272147
381,1,627410,4272147
382,1,627408,4272147
383,1,627406,4272148
384,1,627405,4272148
385,1,627403,4272148
386,1,627401,4272149
387,1,627399,4272149
388,1,627397,4272149
389,1,627395,4272150
390,1,627393,4272150
391,1,627391,4272150
392,1,627389,4272151
393,1,627387,4272151
394,1,627385,4272151
395,1,627383,4272152
396,1,627381,4272152
397,1,627379,4272152
398,1,627377,4272153
399,1,627375,4272153
400,1,627373,4272154
401,1,627371,4272155
402,1,627369,4272155
403,1,627367,4272156
404,1,627366,4272157
405,1,627364,4272157
406,1,627362,4272158
407,1,627360,4272159
408,1,627358,4272159
409,1,627356,4272160
410,1,627354,4272161
411,1,627352,4272161
412,1,627351,4272162
413,1,627349,4272163
414,1,627347,4272163
415,1,627345,4272164
416,1,627343,4272165
417,1,627341,4272165
418,1,627339,4272166
419,1,627337,4272167
420,1,627335,4272167
421,1,627334,4272168
422,1,627332,4272169
423,1,627330,4272170
424,1,627328,4272171
425,1,627327,4272172
426,1,627325,4272173
427,1,627323,4272174
428,1,627321,4272175
429,1,627320,4272176
430,1,627318,4272177
431,1,627316,4272178
432,1,627314,4272179
433,1,627313,4272180
434,1,627311,4272181
435,1,627309,4272182
436,1,627307,4272183
437,1,627306,4272184
438,1,627304,4272185
439,1,627302,4272186
440,1,627300,4272187
441,1,627299,4272188
442,1,627297,4272188
443,1,627295,4272189
444,1,627293,4272190
445,1,627292,4272191
446,1,627290,4272192
447,1,627288,4272193
448,1,627286,4272194
449,1,627285,4272195
450,1,627283,4272196
451,1,627281,4272197
452,1,627279,4272198
453,1,627278,4272199
454,1,627276,4272200
455,1,627274,4272201
456,1,627272,4272202
457,1,627271,4272203
458,1,627269,4272204
459,1,627267,4272205
460,1,627265,4272206
461,1,627264,4272207
462,1,627262,4272208
463,1,627260,4272209
464,1,627258,4272210
465,1,627257,4272211
466,1,627255,4272212
467,1,627253,4272213
468,1,627251,4272214
469,1,627250,4272215
470,1,627248,4272215
471,1,627246,4272216
472,1,627244,4272217
473,1,627243,4272218
474,1,627241,4272219
475,1,627239,4272220
476,1,627237,4272221
477,1,627236,4272222
478,1,627234,4272223
479,1,627232,4272224
480,1,627230,4272225
481,1,627228,4272226
482,1,627227,4272227
483,1,627225,4272228
484,1,627223,4272229
485,1,627221,4272230
486,1,627220,4272231
487,1,627218,4272232
488,1,627216,4272233
489,1,627214,4272234
490,1,627213,4272235
491,1,627211,4272236
492,1,627209,4272237
493,1,627207,4272238
494,1,627206,4272239
495,1,627204,4272240
496,1,627202,4272241
497,1,627200,4272242
498,1,627199,4272243
499,1,627197,4272243
500,1,627195,4272244
501,1,627193,4272245
502,1,627192,4272246
503,1,627190,4272247
504,1,627188,4272248
505,1,627186,4272249
506,1,627185,4272250
507,1,627183,4272251
508,1,627181,4272252
509,1,627179,4272253
510,1,627178,4272254
511,1,627176,4272255
512,1,627174,4272256
513,1,627172,4272257
514,1,627171,4272258
515,1,627169,4272259
516,1,627167,4272260
517,1,627165,4272261
518,1,627164,4272262
519,1,627162,4272263
520,1,627160,4272264
521,1,627158,4272265
522,1,627157,4272266
523,1,627155,4272267
524,1,627153,4272268
525,1,627151,4272269
526,1,627150,4272270
527,1,627148,4272270
528,1,627146,4272271
529,1,627144,4272272
530,1,627143,4272273
531,1,627141,4272274
532,1,627139,4272275
533,1,627137,4272276
534,1,627136,4272277
535,1,627134,4272278
536,1,627132,4272279
537,1,627130,4272280
538,1,627129,4272281
539,1,627127,4272282
540,1,627125,4272283
541,1,627123,4272284
542,1,627122,4272285
543,1,627120,4272286
544,1,627118,4272287
545,1,627117,4272288
546,1,627115,4272289
547,1,627113,4272290
548,1,627111,4272291
549,1,627110,4272292
550,1,627108,4272293
551,1,627106,4272294
552,1,627105,4272295
553,1,627103,4272296
554,1,627101,4272297
555,1,627099,4272298
556,1,627098,4272299
557,1,627096,4272300
558,1,627094,4272301
