,ch,long,lat
0,1,-122.17393741773581,37.426406939646405
1,2,-122.17393741773581,37.426406939646405
2,3,-122.17393741773581,37.426406939646405
3,4,-122.17393741773581,37.426406939646405
4,5,-122.17393741773581,37.426406939646405
5,6,-122.17393741773581,37.426406939646405
6,7,-122.17393741773581,37.426406939646405
7,8,-122.17393741773581,37.426406939646405
8,9,-122.17393741773581,37.426406939646405
9,10,-122.17393741773581,37.426406939646405
10,11,-122.17393741773581,37.426406939646405
11,12,-122.17393741773581,37.426406939646405
12,13,-122.17393741773581,37.426406939646405
13,14,-122.17393741773581,37.426406939646405
14,15,-122.17402692246091,37.42643571193157
15,16,-122.17411642724528,37.42646448405942
16,17,-122.17420593210953,37.4264932562104
17,18,-122.1742954370434,37.42652202829428
18,19,-122.1743849420468,37.42655080031105
19,20,-122.17447444710952,37.426579572170525
20,21,-122.1745639522521,37.426608344053115
21,22,-122.17465345746426,37.426637115868594
22,23,-122.17474296274602,37.426665887616984
23,24,-122.17483246808702,37.42669465920809
24,25,-122.17492197350795,37.42672343082229
25,26,-122.1749953479155,37.42673517066364
26,27,-122.17506872235809,37.42674691045979
27,28,-122.17514209681215,37.426758650300684
28,29,-122.17521547129093,37.42677039000615
29,30,-122.17528884579346,37.426782129666314
30,31,-122.17536222033101,37.42679386928126
31,32,-122.17543559488,37.42680560894097
32,33,-122.17550896945376,37.42681734846524
33,34,-122.17558234405124,37.42682908794423
34,35,-122.17565571868374,37.42684082737797
35,36,-122.17572909332868,37.42685256676636
36,37,-122.17580246799638,37.42686430619957
37,38,-122.17587584268881,37.426876045497345
38,39,-122.17594921741627,37.426887784749894
39,40,-122.17602259215619,37.42689952395709
40,41,-122.17609596691983,37.42691126311896
41,42,-122.1761693417062,37.42692300232567
42,43,-122.17624271652862,37.42693474139705
43,44,-122.17631609136346,37.426946480423034
44,45,-122.17638946622208,37.42695821940373
45,46,-122.1764628411034,37.426969958429254
46,47,-122.17653621602075,37.42698169731942
47,48,-122.17660959095055,37.4269934361642
48,49,-122.17660959095055,37.4269934361642
49,50,-122.17658330779518,37.427059873089426
50,51,-122.17655702459236,37.427126310007495
51,52,-122.1765307413421,37.42719274691845
52,53,-122.17650445804438,37.42725918382223
53,54,-122.17647817468693,37.42732562080896
54,55,-122.17645189129432,37.427392057698476
55,56,-122.17642560785424,37.42745849458086
56,57,-122.17639932436673,37.42752493145609
57,58,-122.17637304083175,37.427591368324194
58,59,-122.17635573141258,37.42765395187872
59,60,-122.17633842195339,37.4277165353395
60,61,-122.17632111247471,37.42777911888696
61,62,-122.17630380296629,37.42784170243086
62,63,-122.17628649341782,37.42790428588104
63,64,-122.17626918384991,37.42796686941788
64,65,-122.17625187425224,37.42802945295119
65,66,-122.17623456461449,37.42809203639076
66,67,-122.17621725495732,37.428154619916995
67,68,-122.17619994527038,37.42821720343968
68,69,-122.1761826355434,37.42827978686863
69,70,-122.17616532579694,37.42834237038426
70,71,-122.1761373978531,37.42841636402837
71,72,-122.17610946985297,37.428490357664316
72,73,-122.17608154180796,37.42856435129216
73,74,-122.17605361369543,37.42863834491175
74,75,-122.17602568552664,37.42871233852316
75,76,-122.17599775730166,37.42878633212641
76,77,-122.1759698290327,37.428860325631426
77,78,-122.17594190069526,37.428934319218314
78,79,-122.17591397230157,37.42900831279703
79,80,-122.17588604385166,37.429082306367576
80,81,-122.17585811535683,37.429156299930014
81,82,-122.17583018679447,37.42923029348421
82,83,-122.17580225817588,37.42930428703023
83,84,-122.17576582255124,37.42936833412876
84,85,-122.17572938685342,37.42943238112443
85,86,-122.17569295110299,37.429496428197645
86,87,-122.17565651527936,37.42956047516798
87,88,-122.17562007940313,37.42962452221589
88,89,-122.1755836434527,37.429688569251034
89,90,-122.17554720745164,37.42975261618347
90,91,-122.17551077137539,37.429816663193286
91,92,-122.17547433524754,37.429880710190524
92,93,-122.17543789904646,37.4299447570849
93,94,-122.17540146279278,37.430008804056804
94,95,-122.17536502646591,37.43007285092585
95,96,-122.17532859008641,37.43013689787243
96,97,-122.17538061855169,37.43019798949512
97,98,-122.17543264710106,37.430259081095286
98,99,-122.17548467573448,37.43032017267294
99,100,-122.17553670445196,37.430381264228075
100,101,-122.17553670445196,37.430381264228075
101,102,-122.17553670445196,37.430381264228075
102,103,-122.17553670445196,37.430381264228075
103,104,-122.17553670445196,37.430381264228075
104,105,-122.17553670445196,37.430381264228075
105,106,-122.17553670445196,37.430381264228075
106,107,-122.17553670445196,37.430381264228075
107,108,-122.17562715690548,37.43039606671618
108,109,-122.1757176093959,37.43041086913546
109,110,-122.17580806191285,37.430425671395696
110,111,-122.17589851447698,37.43044047367731
111,112,-122.175988967078,37.43045527589007
112,113,-122.17607941971589,37.43047007803401
113,114,-122.17616987237933,37.43048488010904
114,115,-122.17626032509195,37.430499682025186
115,116,-122.17635077784045,37.43051448396263
116,117,-122.1764412306258,37.43052928583124
117,118,-122.17653168344803,37.430544087631
118,119,-122.17662213629583,37.43055888936186
119,120,-122.1767125891928,37.43057369093383
120,121,-122.17680304212564,37.4305884925271
121,122,-122.17689349509536,37.43060329405153
122,123,-122.17698394809062,37.43061809550704
123,124,-122.17707440113406,37.43063289689381
124,125,-122.17716485421438,37.43064769821173
125,126,-122.17725530733256,37.4306624993707
126,127,-122.1773457604753,37.43067730055087
127,128,-122.17743621366623,37.43069210166228
128,129,-122.177526666894,37.43070690270488
129,130,-122.17761712015866,37.43072170367863
130,131,-122.17770757346116,37.4307365044934
131,132,-122.17779802678824,37.4307513053294
132,133,-122.17788848016349,37.43076610609665
133,134,-122.1779789335756,37.43078090679505
134,135,-122.17806938702455,37.43079570742461
135,136,-122.17815984050007,37.43081050789514
136,137,-122.1782502940228,37.430825308387035
137,138,-122.17834074758237,37.43084010881009
138,139,-122.17834200270529,37.43077698570294
139,140,-122.17834325782515,37.43071386259509
140,141,-122.1783445129409,37.430650739576656
141,142,-122.17834576805453,37.430587616467385
142,143,-122.17834702316506,37.43052449335741
143,144,-122.1783482782725,37.43046137024671
144,145,-122.17834953337587,37.43039824722547
145,146,-122.17835078847709,37.43033512411336
146,147,-122.1783520435752,37.43027200100056
147,148,-122.17835329867025,37.43020887788704
148,149,-122.1783545537612,37.43014575486295
149,150,-122.17835580885003,37.43008263174803
150,151,-122.17835706393576,37.4300195086324
151,152,-122.17835831901839,37.42995638551606
152,153,-122.17835957409692,37.42989326248913
153,154,-122.17836082917334,37.42983013937138
154,155,-122.17836208424669,37.42976701625291
155,156,-122.17834698933322,37.42979341110189
156,157,-122.178331894409,37.429819805948696
157,158,-122.17827503531866,37.42982302736287
158,159,-122.17821817622396,37.42982624874964
159,160,-122.17816131712488,37.42982947010899
160,161,-122.17810445802144,37.42983269144092
161,162,-122.17804759891366,37.429835912745446
162,163,-122.1779907398015,37.42983913402256
163,164,-122.17793388068496,37.42984235527226
164,165,-122.1778770215641,37.42984557649454
165,166,-122.17785317588415,37.42981431396344
166,167,-122.17782933022389,37.429783051427584
167,168,-122.17770856552168,37.42975992676872
168,169,-122.17758780089693,37.42973680189714
169,170,-122.177467036359,37.42971367699317
170,171,-122.17734627188622,37.42969055196653
171,172,-122.17722550748996,37.429667426817296
172,173,-122.17710474317116,37.42964430145533
173,174,-122.17698397892788,37.42962117606091
174,175,-122.17686321476104,37.42959805054391
175,176,-122.17674245068302,37.42957492481423
176,177,-122.1766216866692,37.42955179905203
177,178,-122.17650092273185,37.42952867316723
178,179,-122.176380158872,37.42950554706972
179,180,-122.17625939508764,37.429482420939756
180,181,-122.17613863137977,37.42945929468719
181,182,-122.1760178677597,37.429436168312115
182,183,-122.17589710420583,37.42941304172424
183,184,-122.17577634072742,37.429389915103904
184,185,-122.1757020429922,37.42937294965586
185,186,-122.17562774529034,37.4293559842516
186,187,-122.1755534476238,37.429339018710856
187,188,-122.17547914999159,37.42932205312376
188,189,-122.17540485239276,37.429305087580445
189,190,-122.17533055482926,37.429288121900655
190,191,-122.1752562573001,37.42927115617451
191,192,-122.17518195980429,37.42925419049214
192,193,-122.17510766234382,37.42923722467329
193,194,-122.1750333649177,37.42922025880809
194,195,-122.1749590675259,37.42920329289654
195,196,-122.17488477016748,37.429186327028766
196,197,-122.17481047284438,37.42916936102452
197,198,-122.17473617555564,37.42915239497391
198,199,-122.17466187830024,37.42913542896709
199,200,-122.17458758108019,37.429118462823794
200,201,-122.17451328389447,37.429101496634146
201,202,-122.17443898674213,37.429084530488275
202,203,-122.17436468962511,37.42906756420592
203,204,-122.17436468962511,37.42906756420592
204,205,-122.17436468962511,37.42906756420592
205,206,-122.17436468962511,37.42906756420592
206,207,-122.17436468962511,37.42906756420592
207,208,-122.17436468962511,37.42906756420592
208,209,-122.17436468962511,37.42906756420592
209,210,-122.17427687917467,37.429053154446855
210,211,-122.17418906875808,37.42903874471303
211,212,-122.17410125837633,37.42902433491436
212,213,-122.17401344803041,37.42900992496068
213,214,-122.17392563771934,37.428995514942144
214,215,-122.1738378274421,37.42898110494885
215,216,-122.17375001719972,37.4289666948907
216,217,-122.17366220699319,37.42895228467755
217,218,-122.1735743968215,37.42893787439952
218,219,-122.17348658668364,37.42892346414678
219,220,-122.17339877658063,37.42890905382914
220,221,-122.17331096651347,37.42889464335653
221,222,-122.17322315648116,37.42888023281904
222,223,-122.1731353464827,37.42886582230681
223,224,-122.17304753652006,37.42885141163959
224,225,-122.17295972659129,37.428837000997625
225,226,-122.17295972659129,37.428837000997625
226,227,-122.17295972659129,37.428837000997625
227,228,-122.17295972659129,37.428837000997625
228,229,-122.17288751642613,37.428820451655994
229,230,-122.17281530629357,37.42880390227058
230,231,-122.17274309619356,37.42878735284139
231,232,-122.17267088612607,37.42877080336842
232,233,-122.1725986760912,37.428754253851665
233,234,-122.17252646608885,37.42873770429112
234,235,-122.17245425611907,37.42872115468682
235,236,-122.17238204618184,37.42870460503873
236,237,-122.1723098362772,37.42868805534686
237,238,-122.17223762640508,37.428671505611206
